"Domain","Base Domain","URL","Agency","Sources","Compliant with M-15-13 and BOD 18-01","Enforces HTTPS","Strict Transport Security (HSTS)","Free of RC4/3DES and SSLv2/SSLv3","3DES","RC4","SSLv2","SSLv3","Preloaded"
"ornl.gov","ornl.gov","https://www.ornl.gov","Department of Energy","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"osac.gov","osac.gov","https://www.osac.gov","Department of State","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"osc.gov","osc.gov","https://osc.gov","U.S. Office of Special Counsel","dotgov","No","Yes","No","Yes","No","No","No","No","No"
"oscnet.gov","oscnet.gov","http://oscnet.gov","U.S. Office of Special Counsel","dotgov","","","","","","","","","No"
"osdls.gov","osdls.gov","https://osdls.gov","GOV Domain OPS","dotgov","No","Yes","No","Yes","No","No","No","No","Yes"
"osha.gov","osha.gov","https://www.osha.gov","Department of Labor","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"oshrc.gov","oshrc.gov","https://www.oshrc.gov","Occupational Safety & Health Review Commission","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"osis.gov","osis.gov","http://osis.gov","Director of National Intelligence","dotgov","","","","","","","","","No"
"osmre.gov","osmre.gov","https://www.osmre.gov","Department of the Interior","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"osti.gov","osti.gov","https://www.osti.gov","Department of Energy","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"ostp.gov","ostp.gov","https://ostp.gov","Executive Office of the President","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
